name,number,sex,year
Luna,184,Female,2021
Arlo,231,Male,2021
Violet,183,Female,2021
Hugo,230,Male,2021
Emily,182,Female,2021
Mason,224,Male,2021
Daisy,182,Female,2021
Jacob,224,Male,2021
Aurora,182,Female,2021
Archer,214,Male,2021
Layla,181,Female,2021
Samuel,210,Male,2021
Hannah,179,Female,2021
Beau,199,Male,2021
Scarlett,178,Female,2021
Xavier,195,Male,2021
Frankie,176,Female,2021
Joshua,192,Male,2021
Ellie,167,Female,2021
Finn,190,Male,2021
Penelope,165,Female,2021
Joseph,188,Male,2021
Isabelle,165,Female,2021
Ryan,182,Male,2021
Emilia,163,Female,2021
Edward,173,Male,2021
Ayla,163,Female,2021
Muhammad,172,Male,2021
Poppy,160,Female,2021
Louis,169,Male,2021
Eleanor,155,Female,2021
Austin,167,Male,2021
Abigail,151,Female,2021
Logan,165,Male,2021
Emma,147,Female,2021
Daniel,164,Male,2021
Eva,142,Female,2021
Adam,163,Male,2021
Elsie,141,Female,2021
Michael,162,Male,2021
Billie,136,Female,2021
Sonny,161,Male,2021
Mackenzie,134,Female,2021
Jackson,160,Male,2021
Freya,134,Female,2021
Jasper,157,Male,2021
Lola,133,Female,2021
Gabriel,157,Male,2021
Bonnie,130,Female,2021
Jordan,153,Male,2021
Alice,128,Female,2021
Patrick,152,Male,2021
Stella,126,Female,2021
Leon,151,Male,2021
Remi,126,Female,2021
Riley,149,Male,2021
Olive,124,Female,2021
Aiden,148,Male,2021
Millie,123,Female,2021
Carter,147,Male,2021
Eloise,123,Female,2021
Eli,146,Male,2021
Harriet,119,Female,2021
Jayden,144,Male,2021
Elena,119,Female,2021
Luka,142,Male,2021
Piper,113,Female,2021
Ali,142,Male,2021
Lara,104,Female,2021
Lincoln,141,Male,2021
Eliana,104,Female,2021
Theo,134,Male,2021
Addison,103,Female,2021
River,133,Male,2021
Savannah,102,Female,2021
Flynn,129,Male,2021
Bella,100,Female,2021
Felix,128,Male,2021
Phoebe,99,Female,2021
Christian,126,Male,2021
Ariana,99,Female,2021
Leonardo,125,Male,2021
Summer,98,Female,2021
Billy,124,Male,2021
Aaliyah,97,Female,2021
Zachary,122,Male,2021
Sadie,96,Female,2021
Asher,122,Male,2021
Rose,94,Female,2021
Elias,119,Male,2021
Maeve,92,Female,2021
Lennox,118,Male,2021
Claire,89,Female,2021
Bodhi,118,Male,2021
Imogen,88,Female,2021
Nicholas,117,Male,2021
Zoey,87,Female,2021
Angus,115,Male,2021
Leah,87,Female,2021
Jude,110,Male,2021
Jasmine,87,Female,2021
Roman,108,Male,2021
Elizabeth,87,Female,2021
Vincent,106,Male,2021
Anna,87,Female,2021
Matthew,106,Male,2021
Eden,86,Female,2021
Ezra,105,Male,2021
Riley,84,Female,2021
Ari,105,Male,2021
Pippa,84,Female,2021
Charles,104,Male,2021
Nora,83,Female,2021
Luke,103,Male,2021
Valentina,82,Female,2021
Spencer,102,Male,2021
Gabriella,82,Female,2021
Ashton,102,Male,2021
Charlie,82,Female,2021
Zayn,100,Male,2021
Quinn,81,Female,2021
Koa,100,Male,2021
Hallie,80,Female,2021
Owen,99,Male,2021
Delilah,80,Female,2021
Jaxon,99,Male,2021
Sarah,79,Female,2021
Maxwell,98,Male,2021
Lyla,79,Female,2021
Isaiah,97,Male,2021
Eliza,79,Female,2021
Anthony,97,Male,2021
Adeline,79,Female,2021
Tyler,96,Male,2021
Molly,78,Female,2021
Oliver,637,Male,2020
Amelia,514,Female,2020
Noah,593,Male,2020
Olivia,476,Female,2020
William,478,Male,2020
Charlotte,460,Female,2020
Leo,420,Male,2020
Mia,420,Female,2020
Lucas,409,Male,2020
Isla,420,Female,2020
Liam,383,Male,2020
Ava,391,Female,2020
Jack,376,Male,2020
Chloe,375,Female,2020
Henry,374,Male,2020
Grace,323,Female,2020
Elijah,371,Male,2020
Sophia,302,Female,2020
Thomas,351,Male,2020
Zoe,301,Female,2020
James,344,Male,2020
Harper,293,Female,2020
Alexander,344,Male,2020
Ivy,291,Female,2020
Charlie,335,Male,2020
Isabella,289,Female,2020
Levi,317,Male,2020
Ella,289,Female,2020
Theodore,313,Male,2020
Sophie,276,Female,2020
Hudson,307,Male,2020
Sienna,273,Female,2020
Jacob,293,Male,2020
Matilda,270,Female,2020
Archie,290,Male,2020
Willow,266,Female,2020
Ethan,287,Male,2020
Lily,247,Female,2020
Harrison,286,Male,2020
Evelyn,245,Female,2020
Mason,270,Male,2020
Mila,244,Female,2020
Hunter,264,Male,2020
Ruby,242,Female,2020
Isaac,259,Male,2020
Evie,240,Female,2020
Oscar,245,Male,2020
Layla,220,Female,2020
Cooper,243,Male,2020
Audrey,210,Female,2020
Lachlan,239,Male,2020
Emily,209,Female,2020
Luca,238,Male,2020
Lucy,206,Female,2020
George,231,Male,2020
Aria,205,Female,2020
Benjamin,227,Male,2020
Hannah,201,Female,2020
Harry,223,Male,2020
Hazel,200,Female,2020
Harvey,222,Male,2020
Georgia,195,Female,2020
Samuel,221,Male,2020
Zara,192,Female,2020
Hugo,212,Male,2020
