First Name,Amount,Position
"AVITAAJ","2","=600"
"AYHAN","2","=600"
"AYMAN","2","=600"
"AZAIAH","2","=600"
"AZARIAH","2","=600"
"AZIAH","2","=600"
"AZIEL","2","=600"
"AZRIEL","2","=600"
"BARAN","2","=600"
"BASIL","2","=600"
"BELLAMY","2","=600"
"BENEDICT","2","=600"
"BLAIR","2","=600"
"BOBBIE","2","=600"
"BOL","2","=600"
"BOWEN","2","=600"
"BRADY","2","=600"
"BRAX","2","=600"
"BRIXTON","2","=600"
"BROCK","2","=600"
"CADEN","2","=600"
"CAIRO","2","=600"
"CAIUS","2","=600"
"CALLAN","2","=600"
"CARLO","2","=600"
"CARLOS","2","=600"
"CASH","2","=600"
"CASPER","2","=600"
"CASSIUS","2","=600"
"CEDRIC","2","=600"
"CHAD","2","=600"
"CHOL","2","=600"
"CLEMENT","2","=600"
"CLIFFORD","2","=600"
"CLYDE","2","=600"
"CONSTANTINE","2","=600"
"CONSTANTINOS","2","=600"
"CORBIN","2","=600"
"COREY","2","=600"
"DAMON","2","=600"
"DANE","2","=600"
"DARSH","2","=600"
"DEREK","2","=600"
"DESMOND","2","=600"
"DEVANSH","2","=600"
"DEXTER","2","=600"
"DEYAN","2","=600"
"DILAWAR","2","=600"
"DIMITRI","2","=600"
"DIVIT","2","=600"
"DOMANIC","2","=600"
"DOMENIC","2","=600"
"DOMINIK","2","=600"
"DONALD","2","=600"
"DONOVAN","2","=600"
"DOUGIE","2","=600"
"DREW","2","=600"
"DUNCAN","2","=600"
"EBENEZER","2","=600"
"EDWIN","2","=600"
"ELVIS","2","=600"
"ELYAS","2","=600"
"EMILIO","2","=600"
"ENOCH","2","=600"
"ESSA","2","=600"
"EVERETT","2","=600"
"EWAN","2","=600"
"FAIZAN","2","=600"
"FARHAN","2","=600"
"FILIP","2","=600"
"FINNICK","2","=600"
"FORREST","2","=600"
"FRANKY","2","=600"
"FREDERIC","2","=600"
"GEORGIO","2","=600"
"GILBERT","2","=600"
"GIORGIO","2","=600"
"GIUSEPPE","2","=600"
"GORDON","2","=600"
"GURMAN","2","=600"
"GURNAWAB","2","=600"
"GURTAAJ","2","=600"
"GURTAJ","2","=600"
"HAMZAH","2","=600"
"HANK","2","=600"
"HARI","2","=600"
"HARJAAP","2","=600"
"HARJAP","2","=600"
"HARLOW","2","=600"
"HARRIS","2","=600"
"HARTEJ","2","=600"
"HARV","2","=600"
"HECTOR","2","=600"
"HENRI","2","=600"
"HEYANSH","2","=600"
"HISYAM","2","=600"
"HUBERT","2","=600"
"HUON","2","=600"
"IGGY","2","=600"
"ILIAS","2","=600"
"IMAAN","2","=600"
"ISRAEL","2","=600"
"IVOR","2","=600"
"IZAAK","2","=600"
"IZAYAH","2","=600"
"IZIAH","2","=600"
"JACEN","2","=600"
"JAE","2","=600"
"JARNAIL","2","=600"
"JARRAH","2","=600"
"JAYSON","2","=600"
"JEDIDIAH","2","=600"
"JEEVA","2","=600"
"JEFFREY","2","=600"
"JENSON","2","=600"
"JERIAH","2","=600"
"JIM","2","=600"
"JOHANN","2","=600"
"JONAH","2","=600"
"JORAWAR","2","=600"
"JOSEF","2","=600"
"JUSTICE","2","=600"
"KAIRAV","2","=600"
"KANE","2","=600"
"KAREEM","2","=600"
"KARSON","2","=600"
"KARTER","2","=600"
"KENAN","2","=600"
"KEON","2","=600"
"KIYANSH","2","=600"
"KOBI","2","=600"
"KOLTON","2","=600"
"KRISHAL","2","=600"
"KRISHAV","2","=600"
"KRISTIAN","2","=600"
"KYAN","2","=600"
"KYRELL","2","=600"
"KYSON","2","=600"
"LANE","2","=600"
"LARS","2","=600"
"LAURENCE","2","=600"
"LAYNE","2","=600"
"LEANDRO","2","=600"
"LENNON","2","=600"
"LEYTON","2","=600"
"LINKIN","2","=600"
"LOCHIE","2","=600"
"LOUI","2","=600"
"LOUKA","2","=600"
"LUCCA","2","=600"
"LUCIAN","2","=600"
"LUCIANO","2","=600"
"LUCIEN","2","=600"
"LUI","2","=600"
"LYRIC","2","=600"
"MADHAV","2","=600"
"MAHDI","2","=600"
"MALEK","2","=600"
"MANTAJ","2","=600"
"MARCELO","2","=600"
"MARKUS","2","=600"
"MARLON","2","=600"
"MARVIN","2","=600"
"MATTHIAS","2","=600"
"MILANO","2","=600"
"MUSAB","2","=600"
"NABIL","2","=600"
"NAEL","2","=600"
"NAVAAN","2","=600"
"NAYAN","2","=600"
"NEHAN","2","=600"
"NICK","2","=600"
"NIDHAAN","2","=600"
"NIKO","2","=600"
"NIKOLAI","2","=600"
"NIRBAAN","2","=600"
"NIVAN","2","=600"
"NIXON","2","=600"
"NOEL","2","=600"
"NOYAN","2","=600"
"NYLE","2","=600"
"OLI","2","=600"
"ORION","2","=600"
"ORSON","2","=600"
"OSMAN","2","=600"
"OSTEN","2","=600"
"OZIAS","2","=600"
"PEDRO","2","=600"
"PERCIVAL","2","=600"
"PRANITH","2","=600"
"PRASHIV","2","=600"
"PRESTON","2","=600"
"PRIYANSH","2","=600"
"QASIM","2","=600"
"RAFA","2","=600"
"RANINDER","2","=600"
"RAWIRI","2","=600"
