Given Name,Number,Position
AFFINITY,1,839
AFIYA,1,839
AGATHE,1,839
AGNES,1,839
AGOOT,1,839
AGUER,1,839
AHAANA,1,839
AHALIA,1,839
AHOK,1,839
AHUAITI,1,839
AIARIN,1,839
AIBHLINN,1,839
AIKA,1,839
AILEY,1,839
AIMA,1,839
AIMEE,1,839
AINDRILA,1,839
AINSLEE,1,839
AINSLEIGH,1,839
AINSLEY,1,839
AIRU,1,839
AISHAH,1,839
AISHLEEN,1,839
AISHVIR,1,839
AISYLN,1,839
AISYN,1,839
AIVA,1,839
AIVAH,1,839
AIVLEEN,1,839
AIZLEIGH,1,839
AJOONI,1,839
AKSANA,1,839
AKSHDEEP,1,839
AKSHYA,1,839
AKUOL,1,839
AKUR,1,839
AKUS,1,839
ALAA,1,839
ALAINA,1,839
ALANAH,1,839
ALANI,1,839
ALANYA,1,839
ALARA,1,839
ALASKA,1,839
ALASKAH,1,839
ALATHEA,1,839
ALAYA,1,839
ALBA,1,839
ALECIA,1,839
ALECTRA,1,839
ALEESHA,1,839
ALEGRA,1,839
ALEIA-JANE,1,839
ALEIRA,1,839
ALEKHSIA,1,839
ALESIA,1,839
ALEX,1,839
ALEXIE,1,839
ALEXSIS,1,839
ALEYA,1,839
ALIA,1,839
ALIARNNAH,1,839
ALIJA,1,839
ALISE,1,839
ALISHBA,1,839
ALIYAH-LOUISE,1,839
ALIZA,1,839
ALLANAH,1,839
ALLEXX,1,839
ALLISON,1,839
ALLIYAH,1,839
ALLY,1,839
ALONA,1,839
ALONYO,1,839
ALORA,1,839
ALPHONSINE,1,839
ALSHAM,1,839
ALTHEA,1,839
ALUONG,1,839
ALYANA,1,839
ALYCE,1,839
ALYSA,1,839
ALYVIA,1,839
ALYX,1,839
ALYZA-LEE,1,839
AMAANAT,1,839
AMABELLE,1,839
AMAHLIA,1,839
AMAL,1,839
AMANDA,1,839
AMARELLA,1,839
AMARI,1,839
AMARIS,1,839
AMARLIE,1,839
AMATUL,1,839
AMAYAH,1,839
AMAYRA,1,839
AMBEL,1,839
AMBERLEY,1,839
