Name,Sex,Year,Count
BRENDAN,Male,1986,240
CATHERINE,Female,1963,240
CHLOE,Female,1996,240
HANNAH,Female,1996,240
JACK,Male,1992,240
RYAN,Male,1983,240
AMANDA,Female,1970,239
BAILEY,Male,2005,239
DONNA,Female,1969,239
GREGORY,Male,1968,239
JAMES,Male,1972,239
JAYDEN,Male,2001,239
KYLIE,Female,1980,239
LAUREN,Female,1989,239
LAUREN,Female,1995,239
MICHELLE,Female,1982,239
ROBYN,Female,1962,239
SHANE,Male,1981,239
ALEXANDER,Male,1997,238
CRAIG,Male,1976,238
EMMA,Female,2001,238
HANNAH,Female,2004,238
IAN,Male,1964,238
IAN,Male,1965,238
JAMES,Male,1971,238
JORDAN,Male,2000,238
MITCHELL,Male,1988,238
AMY,Female,1984,237
GRACE,Female,2003,237
KEVIN,Male,1961,237
KYLIE,Female,1979,237
LUKE,Male,2002,237
NATHAN,Male,1998,237
STEVEN,Male,1961,237
BRADLEY,Male,1973,236
CONNOR,Male,2000,236
CONNOR,Male,2005,236
COURTNEY,Female,1997,236
GEORGIA,Female,2004,236
HARRISON,Male,2004,236
HELEN,Female,1963,236
HELEN,Female,1965,236
MATTHEW,Male,1970,236
MELISSA,Female,1972,236
MICHAEL,Male,1999,236
SANDRA,Female,1966,236
ALEXANDER,Male,2003,235
AMY,Female,1986,235
ANGELA,Female,1983,235
JAYDEN,Male,2002,235
JOHN,Male,1980,235
KYLIE,Female,1984,235
LUKE,Male,2000,235
ROBERT,Male,1988,235
ALEXANDER,Male,1991,234
ASHLEIGH,Female,1993,234
CHRISTOPHER,Male,1960,234
JASON,Male,1987,234
JENNIFER,Female,1966,234
LAUREN,Female,1991,234
LISA,Female,1979,234
NOAH,Male,2005,234
OLIVIA,Female,2003,234
ROBYN,Female,1964,234
ADAM,Male,1975,233
BELINDA,Female,1976,233
BRETT,Male,1963,233
JAYDEN,Male,2000,233
JENNIFER,Female,1969,233
TRACEY,Female,1965,233
ANTHONY,Male,1982,232
JUDITH,Female,1960,232
MARK,Male,1985,232
NICOLE,Female,1985,232
SANDRA,Female,1968,232
TIMOTHY,Male,1992,232
AARON,Male,1985,231
CRAIG,Male,1977,231
CRAIG,Male,1978,231
DYLAN,Male,2002,231
HELEN,Female,1962,231
JENNIFER,Female,1967,231
STEVEN,Male,1985,231
BENJAMIN,Male,1974,230
BRADLEY,Male,1978,230
CHRISTOPHER,Male,1961,230
DANIEL,Male,1973,230
HARRISON,Male,2003,230
JAKE,Male,2002,230
LAUREN,Female,1994,230
LEANNE,Female,1968,230
