"","name","number","sex","year"
"471","Grayson",89,"Male",2021
"472","Hamish",89,"Male",2021
"473","Ryder",88,"Male",2021
"474","Phoenix",87,"Male",2021
"475","Braxton",87,"Male",2021
"476","Lennox",86,"Male",2021
"477","Michael",85,"Male",2021
"478","Fletcher",84,"Male",2021
"479","Asher",83,"Male",2021
"480","Bodhi",81,"Male",2021
"481","Daniel",81,"Male",2021
"482","Ashton",81,"Male",2021
"483","Nate",80,"Male",2021
"484","Caleb",78,"Male",2021
"485","Darcy",77,"Male",2021
"486","Koa",76,"Male",2021
"487","Luke",75,"Male",2021
"488","Miles",75,"Male",2021
"489","Ari",73,"Male",2021
"490","Louie",69,"Male",2021
"491","Owen",69,"Male",2021
"492","Vincent",68,"Male",2021
"493","Maxwell",68,"Male",2021
"494","Huxley",68,"Male",2021
"495","Elias",67,"Male",2021
"496","Matthew",65,"Male",2021
"497","Jayden",65,"Male",2021
"498","Ezekiel",65,"Male",2021
"499","Blake",65,"Male",2021
"500","Chase",65,"Male",2021
"501","Isla",347,"Female",2021
"502","Olivia",320,"Female",2021
"503","Charlotte",307,"Female",2021
"504","Willow",288,"Female",2021
"505","Mia",286,"Female",2021
"506","Ava",285,"Female",2021
"507","Grace",279,"Female",2021
"508","Amelia",276,"Female",2021
"509","Matilda",224,"Female",2021
"510","Lily",215,"Female",2021
"511","Ivy",211,"Female",2021
"512","Harper",210,"Female",2021
"513","Ella",206,"Female",2021
"514","Sophie",198,"Female",2021
"515","Evie",189,"Female",2021
"516","Ruby",185,"Female",2021
"517","Evelyn",182,"Female",2021
"518","Isabella",173,"Female",2021
"519","Frankie",172,"Female",2021
"520","Lucy",171,"Female",2021
"521","Chloe",168,"Female",2021
"522","Mila",164,"Female",2021
"523","Sophia",160,"Female",2021
"524","Georgia",157,"Female",2021
"525","Violet",155,"Female",2021
"526","Layla",155,"Female",2021
"527","Ellie",153,"Female",2021
"528","Aria",152,"Female",2021
"529","Luna",149,"Female",2021
"530","Audrey",142,"Female",2021
"531","Scarlett",141,"Female",2021
"532","Zoe",137,"Female",2021
"533","Hazel",133,"Female",2021
"534","Elsie",132,"Female",2021
"535","Penelope",131,"Female",2021
"536","Alice",130,"Female",2021
"537","Poppy",128,"Female",2021
"538","Sienna",127,"Female",2021
"539","Aurora",125,"Female",2021
"540","Freya",124,"Female",2021
"541","Florence",123,"Female",2021
"542","Isabelle",122,"Female",2021
"543","Hannah",121,"Female",2021
"544","Abigail",119,"Female",2021
"545","MacKenzie",118,"Female",2021
"546","Daisy",114,"Female",2021
"547","Emily",110,"Female",2021
"548","Eleanor",108,"Female",2021
"549","Ayla",107,"Female",2021
"550","Maya",97,"Female",2021
"551","Emilia",97,"Female",2021
"552","Savannah",95,"Female",2021
"553","Billie",95,"Female",2021
"554","Eloise",94,"Female",2021
"555","Sadie",93,"Female",2021
"556","Bonnie",93,"Female",2021
"557","Remi",92,"Female",2021
"558","Emma",92,"Female",2021
"559","Stella",90,"Female",2021
"560","Summer",89,"Female",2021
"561","Harriet",87,"Female",2021
"562","Sofia",86,"Female",2021
"563","Addison",86,"Female",2021
"564","Peyton",84,"Female",2021
"565","Piper",84,"Female",2021
"566","Elizabeth",84,"Female",2021
"567","Lola",79,"Female",2021
"568","Phoebe",79,"Female",2021
"569","Charlie",79,"Female",2021
"570","Millie",77,"Female",2021
"571","Imogen",77,"Female",2021
"572","Maddison",76,"Female",2021
"573","Harlow",76,"Female",2021
"574","Delilah",76,"Female",2021
"575","Olive",75,"Female",2021
"576","Bella",75,"Female",2021
"577","Claire",75,"Female",2021
"578","Zara",71,"Female",2021
"579","Quinn",71,"Female",2021
"580","Hallie",69,"Female",2021
"581","Thea",68,"Female",2021
"582","Pippa",67,"Female",2021
"583","Jasmine",67,"Female",2021
"584","Adeline",66,"Female",2021
"585","Lyla",64,"Female",2021
"586","Eva",64,"Female",2021
"587","Rosie",63,"Female",2021
"588","Lilly",63,"Female",2021
"589","Indiana",63,"Female",2021
"590","Octavia",61,"Female",2021
"591","Maeve",61,"Female",2021
"592","Eden",61,"Female",2021
"593","Gracie",61,"Female",2021
"594","Aaliyah",61,"Female",2021
